line,tradeCategory,tradePhase,description,amount
1,Site_Prep_&_Structure,"Foundation & Flatwork","Concrete form stakes and layout string",11.01
2,Site_Prep_&_Structure,"Roofing","Roofing nails and underlayment patch",12.02
3,Site_Prep_&_Structure,"Windows & Exterior Doors","Window flashing tape and exterior door shims",13.03
4,Framing_&_Lumber,"Framing Lumber & Truss","Deck screws, lumber connector, truss hanger",14.04
5,Mechanicals_&_Utilities,"Plumbing Rough-In","PVC elbow rough-in shower drain fittings",15.05
6,Mechanicals_&_Utilities,"Electrical & Lighting","2-gang wire box and Decora light switch",16.06
7,Mechanicals_&_Utilities,"HVAC / AC Systems","HVAC register boot and flex duct strap",17.07
8,Mechanicals_&_Utilities,"Insulation & Alarms","Alarm wire clips and insulation baffles",18.08
9,Interior_Finishes,"Drywall & Sheetrock","Sheetrock screws, drywall tape, joint compound",19.09
10,Interior_Finishes,"Cabinets & Trim Carpentry","Cabinet hinge, closet rod bracket, trim fasteners",20.10
11,Interior_Finishes,"Quartz & Countertops","Quartz countertop silicone and shims",21.11
12,Interior_Finishes,"Glass Work","Shower glass setting blocks and clear sealant",22.12
13,Paint_Tile,"Tile & Flooring","Tile spacers, grout float, flooring transition strip",23.13
14,Paint_Tile,"Paint & Finishes","Paint roller cover, primer tray, caulk",24.14
15,House_Exterior_&_Yard,"Stucco & Masonry","Stucco mesh and masonry screws",25.15
16,House_Exterior_&_Yard,"Garage Doors","Garage door track bolts and roller bracket",26.16
17,House_Exterior_&_Yard,"Driveway & Sidewalks","Sidewalk expansion joint and driveway form pins",27.17
18,House_Exterior_&_Yard,"Cantera Stone Detail","Cantera stone setting wedges and anchors",28.18
19,House_Exterior_&_Yard,"Fencing & Gates","Fence post caps, gate hinge screws, latch hardware",29.19
20,House_Exterior_&_Yard,"Landscaping & Irrigation","Irrigation coupler, drip fittings, landscape stakes",30.20
21,Project_Overhead_&_Bills,"Monthly Utility Bills","Temporary utility meter payment test charge",31.21
22,Project_Overhead_&_Bills,"Dumpsters & Cleaning","Dumpster liner, trash bags, cleanup broom",32.22
23,Project_Overhead_&_Bills,"Extra Costs & Misc","Miscellaneous project test supplies",33.23
24,Paperwork_&_Permits,"Paperwork & Permits","Permit copy fee and paperwork admin envelope",34.24
25,Interior_Hardware,"Plumbing Hardware Fixtures","Faucet supply line and plumbing fixture screws",35.25
26,Interior_Hardware,"Electrical Hardware Fixtures","Light fixture mounting plate and wire nuts",36.26
